x	y	p
584	386	255
584	387	255
585	387	255
586	387	255
586	388	255
587	389	255
588	389	255
583	390	255
588	390	255
583	391	255
586	393	255
580	395	255
579	396	255
583	397	255
583	398	255
579	400	255
576	403	255
577	404	255
579	404	255
580	404	255
574	407	255
574	408	255
579	408	255
578	411	255
572	413	255
571	414	255
572	414	255
571	415	255
570	416	255
571	416	255
568	419	255
568	420	255
571	422	255
570	423	255
571	423	255
567	424	255
565	427	255
564	428	255
564	429	255
566	431	255
566	432	255
568	432	255
566	433	255
561	436	255
564	439	255
559	441	255
559	442	255
562	442	255
563	442	255
557	443	255
559	443	255
561	443	255
558	444	255
557	445	255
558	445	255
559	445	255
560	445	255
561	446	255
556	447	255
558	447	255
559	447	255
560	447	255
561	447	255
555	448	255
556	448	255
558	448	255
556	449	255
558	449	255
553	453	255
557	455	255
557	458	255
555	460	255
555	461	255
549	462	255
547	468	255
551	468	255
548	469	255
549	469	255
550	469	255
544	472	255
545	474	255
549	474	255
547	475	255
548	475	255
535	492	255
534	496	255
537	496	255
537	497	255
533	498	255
532	499	255
533	499	255
535	507	255
537	507	255
531	509	255
534	509	255
535	509	255
527	511	255
527	512	255
532	512	255
527	513	255
535	515	255
528	516	255
524	518	255
525	518	255
524	519	255
523	520	255
524	520	255
523	521	255
528	521	255
529	521	255
523	522	255
525	527	255
526	527	255
524	528	255
525	528	255
520	529	255
521	529	255
523	530	255
518	533	255
518	534	255
519	534	255
520	535	255
521	535	255
516	539	255
519	539	255
515	540	255
514	544	255
513	545	255
514	545	255
511	550	255
510	552	255
504	564	255
503	570	255
504	570	255
501	572	255
501	573	255
503	573	255
498	578	255
498	579	255
497	580	255
497	583	255
496	584	255
497	584	255
495	585	255
491	592	255
487	598	255
488	598	255
487	599	255
490	604	255
487	613	255
484	621	255
475	622	255
476	622	255
473	625	255
473	626	255
472	627	255
470	632	255
470	633	255
474	633	255
472	634	255
473	635	255
467	637	255
472	637	255
467	638	255
468	639	255
464	642	255
464	643	255
462	646	255
463	646	255
462	647	255
462	648	255
461	649	255
460	650	255
460	651	255
460	652	255
459	653	255
458	654	255
459	656	255
456	657	255
459	657	255
460	657	255
455	659	255
458	660	255
454	661	255
456	661	255
453	662	255
459	662	255
452	665	255
451	666	255
452	666	255
456	666	255
451	667	255
451	668	255
458	668	255
450	669	255
449	670	255
450	670	255
453	671	255
454	671	255
448	672	255
449	672	255
450	672	255
451	672	255
452	672	255
455	672	255
448	673	255
447	674	255
446	676	255
449	679	255
449	680	255
443	681	255
443	682	255
442	683	255
443	683	255
445	684	255
446	684	255
440	685	255
440	686	255
445	686	255
443	688	255
438	689	255
439	689	255
443	689	255
438	690	255
441	690	255
437	691	255
440	691	255
441	691	255
